                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.04257,                      1,                      1,                0.01016,               0.002971,               0.002971,               0.002971
                     73,                0.04695,                      1,                      1,                0.01021,               0.002872,               0.002872,               0.002872
                     74,                0.04519,                      1,                      1,                0.01022,               0.002773,               0.002773,               0.002773
                     75,                0.04391,                      1,                      1,                0.01038,               0.002674,               0.002674,               0.002674
                     76,                0.04366,                      1,                      1,                0.01065,               0.002575,               0.002575,               0.002575
                     77,                0.04985,                      1,                      1,                0.01038,               0.002476,               0.002476,               0.002476
                     78,                 0.0396,                      1,                      1,                0.01028,               0.002377,               0.002377,               0.002377
                     79,                0.04595,                      1,                      1,                0.01009,               0.002278,               0.002278,               0.002278
                     80,                0.03907,                      1,                      1,                0.01022,               0.002179,               0.002179,               0.002179
                     81,                0.04456,                      1,                      1,                0.00996,                0.00208,                0.00208,                0.00208
                     82,                0.04466,                      1,                      1,                0.01007,               0.001981,               0.001981,               0.001981
                     83,                0.04233,                      1,                      1,                0.01026,               0.001882,               0.001882,               0.001882
                     84,                0.03762,                      1,                      1,                0.00994,               0.001783,               0.001783,               0.001783
                     85,                0.04099,                      1,                      1,                0.00991,               0.001684,               0.001684,               0.001684
                     86,                0.03912,                      1,                      1,                0.00996,               0.001585,               0.001585,               0.001585
                     87,                0.03816,                      1,                      1,                0.00993,               0.001486,               0.001486,               0.001486
                     88,                  0.035,                      1,                      1,                0.00992,               0.001387,               0.001387,               0.001387
                     89,                 0.0422,                      1,                      1,                 0.0101,               0.001288,               0.001288,               0.001288
                     90,                0.03806,                      1,                      1,                0.01005,               0.001189,               0.001189,               0.001189
                     91,                0.03659,                      1,                      1,                0.01013,                0.00109,                0.00109,                0.00109
                     92,                0.04311,                      1,                      1,                0.01007,               0.000991,               0.000991,               0.000991
                     93,                0.03435,                      1,                      1,                0.01001,               0.000892,               0.000892,               0.000892
                     94,                0.03849,                      1,                      1,                   0.01,               0.000793,               0.000793,               0.000793
                     95,                0.03872,                      1,                      1,                0.01006,               0.000694,               0.000694,               0.000694
                     96,                0.03525,                      1,                      1,                0.01006,               0.000595,               0.000595,               0.000595
                     97,                0.04138,                      1,                      1,                0.01006,               0.000496,               0.000496,               0.000496
                     98,                0.04209,                      1,                      1,                0.01018,               0.000397,               0.000397,               0.000397
                     99,                0.03956,                      1,                      1,                0.01006,               0.000298,               0.000298,               0.000298
