                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                fitness,               f1_score,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.05812,                    0.5,                      1,                      1,                0.66667,                0.02322,               0.004456,               0.004456,               0.004456
                     58,                0.05596,                    0.5,                      1,                      1,                0.66667,                0.02411,               0.004357,               0.004357,               0.004357
                     59,                0.04712,                    0.5,                      1,                      1,                0.66667,                0.02481,               0.004258,               0.004258,               0.004258
                     60,                0.05577,                    0.5,                      1,                      1,                0.66667,                 0.0246,               0.004159,               0.004159,               0.004159
                     61,                0.04744,                    0.5,                      1,                      1,                0.66667,                0.02498,                0.00406,                0.00406,                0.00406
                     62,                0.04884,                    0.5,                      1,                      1,                0.66667,                0.02478,               0.003961,               0.003961,               0.003961
                     63,                0.04951,                    0.5,                      1,                      1,                0.66667,                0.02428,               0.003862,               0.003862,               0.003862
                     64,                0.04812,                    0.5,                      1,                      1,                0.66667,                0.02452,               0.003763,               0.003763,               0.003763
                     65,                 0.0524,                    0.5,                      1,                      1,                0.66667,                0.02458,               0.003664,               0.003664,               0.003664
                     66,                0.05446,                    0.5,                      1,                      1,                0.66667,                0.02174,               0.003565,               0.003565,               0.003565
                     67,                0.04748,                    0.5,                      1,                      1,                0.66667,                 0.0213,               0.003466,               0.003466,               0.003466
                     68,                0.03832,                    0.5,                      1,                      1,                0.66667,                0.02507,               0.003367,               0.003367,               0.003367
                     69,                0.05077,                    0.5,                      1,                      1,                0.66667,                0.02525,               0.003268,               0.003268,               0.003268
                     70,                0.04681,                    0.5,                      1,                      1,                0.66667,                0.02539,               0.003169,               0.003169,               0.003169
                     71,                0.04749,                    0.5,                      1,                      1,                0.66667,                0.02538,                0.00307,                0.00307,                0.00307
                     72,                0.05378,                    0.5,                      1,                      1,                0.66667,                 0.0253,               0.002971,               0.002971,               0.002971
                     73,                0.04833,                    0.5,                      1,                      1,                0.66667,                0.02525,               0.002872,               0.002872,               0.002872
                     74,                0.05141,                    0.5,                      1,                      1,                0.66667,                0.02522,               0.002773,               0.002773,               0.002773
                     75,                0.05036,                    0.5,                      1,                      1,                0.66667,                 0.0251,               0.002674,               0.002674,               0.002674
                     76,                0.04736,                    0.5,                      1,                      1,                0.66667,                0.02458,               0.002575,               0.002575,               0.002575
                     77,                0.05432,                    0.5,                      1,                      1,                0.66667,                0.02229,               0.002476,               0.002476,               0.002476
                     78,                0.04666,                    0.5,                      1,                      1,                0.66667,                0.02472,               0.002377,               0.002377,               0.002377
                     79,                0.04076,                    0.5,                      1,                      1,                0.66667,                0.02509,               0.002278,               0.002278,               0.002278
                     80,                0.04339,                    0.5,                      1,                      1,                0.66667,                0.02478,               0.002179,               0.002179,               0.002179
                     81,                0.04421,                    0.5,                      1,                      1,                0.66667,                0.02502,                0.00208,                0.00208,                0.00208
                     82,                0.04359,                    0.5,                      1,                      1,                0.66667,                0.02478,               0.001981,               0.001981,               0.001981
                     83,                 0.0457,                    0.5,                      1,                      1,                0.66667,                0.02434,               0.001882,               0.001882,               0.001882
                     84,                0.05339,                    0.5,                      1,                      1,                0.66667,                0.02475,               0.001783,               0.001783,               0.001783
                     85,                0.04272,                    0.5,                      1,                      1,                0.66667,                0.02499,               0.001684,               0.001684,               0.001684
                     86,                0.03849,                    0.5,                      1,                      1,                0.66667,                0.02505,               0.001585,               0.001585,               0.001585
                     87,                0.04659,                    0.5,                      1,                      1,                0.66667,                 0.0251,               0.001486,               0.001486,               0.001486
